"År","A-traktorer","Bussar","Lätta lastbilar","Mopeder och motorcyklar","Personbilar","Tunga lastbilar","Totalt"
1990,0.02,14.48,7.1,0.06,72.04,58.59,152.3
1991,0.02,14.57,7.99,0.07,74.87,57.12,154.63
1992,0.02,14.51,7.86,0.07,69.89,54.95,147.29
1993,0.02,13.94,7.4,0.08,60.89,53.7,136.02
1994,0.02,13.59,7.68,0.08,63.31,53.51,138.19
1995,0.02,13.61,7.55,0.08,58.16,54.93,134.36
1996,0.01,13.19,7.42,0.09,56.73,51.32,128.75
1997,0.02,12.89,7.38,0.09,51.52,51.36,123.25
1998,0.01,12.17,7.06,0.1,48.4,49.64,117.38
1999,0.02,11.96,7.14,0.1,45.04,53.13,117.39
2000,0.02,11.16,6.83,0.12,40.49,57.92,116.54
2001,0.02,10.36,6.58,0.13,37.23,53.29,107.6
2002,0.02,9.81,6.9,0.14,34.11,50.01,100.99
2003,0.02,9.56,7.3,0.15,31.55,48.87,97.44
2004,0.02,9.3,7.79,0.15,29.26,49.6,96.12
2005,0.02,9.04,8.69,0.16,28.34,49.92,96.16
2006,0.02,8.79,9.24,0.18,26.8,49.12,94.14
2007,0.02,8.44,9.99,0.2,26.1,48,92.74
2008,0.02,7.84,10.31,0.2,25.78,42.88,87.03
2009,0.02,7.36,10.19,0.2,24.78,35.59,78.14
2010,0.02,6.94,10.47,0.19,24.73,34.3,76.65
2011,0.02,6.4,11.09,0.19,23.85,31.66,73.21
2012,0.03,5.7,11.25,0.16,25.62,27.3,70.06
2013,0.03,5.26,11.34,0.17,26.86,25.13,68.79
2014,0.03,4.79,11.54,0.16,28.05,23.43,68.01
2015,0.04,4.42,11.64,0.17,28.93,20.1,65.29
2016,0.04,3.95,11.62,0.16,29.98,17.49,63.26
2017,0.05,3.66,11.4,0.15,29.34,14.4,58.99
2018,0.04,3.44,10.72,0.14,28.26,12.47,55.06
2019,0.05,3.15,9.74,0.13,25.4,9.89,48.36
2020,0.08,2.66,8.96,0.13,21.66,8.58,42.08
2021,0.12,2.05,8.31,0.12,20.16,8.23,38.99
2022,0.15,1.85,7.61,0.11,19.19,7.34,36.25
2023,0.15,1.67,6.88,0.11,18.1,6.14,33.05